query_id,answer
1,4234 4219 4396 4328 1951 4308 3565 4384 1909 2943
2,4219 2646 1951 4400 4384 2865 1966 4214 4328 4234
3,1909 4234 4400 1907 4328 4286 4403 2646 4219 4396
4,4532 4400 2865 4234 4219 4214 2646 1966 1951 4403
5,1951 4214 4219 4234 2698 2646 3467 2665 4328 4361
6,4361 1951 4328 4234 3467 1909 4286 2032 4396 4318
7,4219 2865 4400 4384 1966 4361 4234 2646 4308 1909
8,1951 4214 1966 4234 2698 4532 2646 4219 4396 4308
9,4214 4451 2698 4219 1951 4276 4234 4396 3478 1907
10,4219 2646 4361 1966 4234 4400 2865 4387 1909 4384
11,4219 4400 2865 2646 1966 4403 4361 4384 4234 4440
12,4219 4384 2865 4400 1966 4387 2646 4440 4361 4532
13,4219 2646 2865 4440 1966 4384 4389 4400 4387 4532
14,4451 4440 4214 1907 4396 2511 3843 4307 4009 4395
15,4219 4361 2865 1966 4234 2943 4384 2646 1951 2037
16,4219 4440 2646 4389 1958 4384 2865 4214 4395 4387
17,1951 4214 4234 1966 4219 2865 4396 2698 4328 2538
18,4219 2646 4234 4361 4403 1951 4400 4214 4387 1909
19,1951 2646 4219 4214 4234 3467 2665 4384 2698 4320
20,2865 4219 2646 1966 4400 4384 4387 2831 1951 4395
21,4214 2698 4219 2646 1951 4451 4389 2665 4395 4361
22,4234 4440 4451 4328 4396 3862 4214 2698 4433 4286
23,4328 4286 1951 4234 4396 2698 4219 4214 4400 1907
24,4219 4440 2646 4389 2865 4384 1958 4387 1966 4395
25,4214 1951 4451 2698 4234 4396 4219 3478 2665 4308
26,4219 1951 2646 4440 4361 4389 4234 2865 4364 2661
27,4219 1966 4384 4387 2646 2865 4440 4400 1958 4389
28,4219 2865 1909 4387 4400 4234 2646 1951 1966 4361
29,4219 2646 1966 2865 4400 4361 2831 4384 4234 4214
30,1951 4219 2646 4214 4234 3467 4440 4308 3565 2865
31,4219 4400 4234 2646 1909 4308 4387 1951 1958 4214
32,4219 2646 4234 4384 1951 4214 2665 4389 4328 4308
33,4219 1966 4384 2646 2865 4440 4400 4387 4389 1958
34,4219 2865 4384 1966 2646 4361 4400 4387 4234 4308
35,4234 4396 1951 4328 4286 1909 4308 4403 1907 4214
36,4219 4387 2646 1958 4384 4395 4178 1966 4218 1907
37,4219 4400 2865 1966 4387 4403 4384 2646 4308 4361
38,4219 4384 1966 4440 2646 2865 4387 4400 1958 4395
39,1951 3467 4234 4214 4286 2646 1899 4328 4308 4403
40,4219 2646 4361 4234 2865 4400 2943 1966 4440 1951
41,4361 4384 4234 4219 1951 2943 2646 4214 4328 4308
42,4219 4387 2646 1958 1966 4384 1951 4308 4234 4400
43,4234 1951 4219 4328 4308 2646 4403 4361 1909 4396
44,2865 4219 1966 2646 4384 4400 4361 4387 4403 4389
45,2865 4219 1966 2646 4384 4387 4361 4400 4234 4389
46,2665 4214 1951 2698 4234 4308 4396 3467 4395 2943
47,1951 4234 4219 2646 4361 4214 4308 4384 4286 2865
48,4219 1966 4384 4387 2646 4440 1958 4395 2665 4178
49,4219 2646 4308 1899 4387 1966 1907 4328 4400 4403
50,1951 4234 3467 4361 4286 4308 4328 4396 4214 1899
51,4219 4214 2646 4395 2665 4424 1951 4308 4387 4234
52,4395 4219 4234 4214 2646 4424 4384 4308 1951 2865
53,4219 2646 4361 4400 4403 4234 4387 1958 2865 4389
54,4234 4219 4400 4395 2646 1951 4214 3478 4451 4328
55,1951 4308 4214 3467 4219 2646 4234 4320 2665 4396
56,4403 4219 4400 4308 2646 4387 4361 1909 4234 4328
57,3028 4423 4400 2831 4234 4364 1951 4219 2665 4232
58,4219 2646 4384 4440 4389 1966 2865 4214 4234 4361
59,4219 2865 2646 1966 4384 4218 4400 4389 4387 4440
60,4219 2865 2646 1966 4400 4384 4387 4403 2831 1958
61,4219 2646 4389 4440 4396 4384 3565 2943 4308 4328
62,4219 4234 4400 2646 1966 2865 4384 4218 1951 4308
63,4219 4400 4387 1958 2646 4389 4384 4451 1951 4234
64,4234 1909 1907 4286 4400 1951 4308 4219 4403 1958
65,4008 2222 4440 4307 4283 4451 4364 3128 3254 4234
66,4440 4276 2894 2886 1951 4286 3467 2646 4403 2202
67,4219 4384 2646 4361 1966 4234 4440 4214 4451 4328
68,4440 2204 3932 4234 4395 2222 4451 4389 4328 3595
69,4361 4400 4219 1966 2646 4234 4403 4387 4384 2886
70,4234 4396 4328 1909 1951 1907 4286 2646 4219 4214
71,1951 4234 4214 4219 2646 2865 2665 4308 4361 4389
72,2698 4234 1951 4214 1909 4403 4308 4361 4400 4532
73,4440 2886 2894 4219 3254 4389 2646 2865 2222 1958
74,4219 1966 2865 2646 4400 2831 4384 4403 4234 1958
75,4219 2646 4234 1951 4361 1966 4384 4214 4328 4387
76,1951 4234 2698 4328 4214 4451 1901 4396 4219 4400
77,1951 4219 2646 4308 4328 3993 4396 4134 4234 4214
78,4328 4234 1951 1909 4440 4396 2222 1907 4361 4286
